title,author,itemUrl,itemPrice,itemCaption
グレイラットの殺人,M・W・クレイヴン/東野　さやか,https://books.rakuten.co.jp/rb/17569221/,1430,貸金庫を襲った強盗団が、身元不明の遺体と鼠の置物を残して姿を消した。三年後、サミット開催が迫るなか要人を搬送するヘリコプター会社の社長が殺される。テロを警戒した政府はポーに事件の捜査を命じるが、ＭＩ５の妨害で捜査は遅々として進まない。天才分析官ティリーが発見したデータのおかげで犯人を追いつめたかに見えたが…。二転三転する状況でポーが辿り着いた真実とは。驚愕のシリーズ第四作。
戦闘部隊ラグナロク,ペーター・グリーゼ/マリアンネ・シドウ/工藤　稜/林　啓子,https://books.rakuten.co.jp/rb/17598291/,902,
炎の嵐,ロベルト・フェルトホフ/ペーター・グリーゼ/工藤　稜/嶋田　洋一,https://books.rakuten.co.jp/rb/17598290/,902,
未来から来た盗賊,マリアンネ・シドウ/K・H・シェール/井口　富美子/増田　久美子,https://books.rakuten.co.jp/rb/17663272/,1034,
エスタルトゥ,クルト・マール/星谷　馨,https://books.rakuten.co.jp/rb/17677698/,902,
ローダン救出作戦,アルント・エルマー/日高　祐也/H・G・エーヴェルス/工藤　稜/星谷　馨,https://books.rakuten.co.jp/rb/17569164/,902,スィ・キトゥの助けを借り、タルカン宇宙への遷移に成功した“シマロン”は、メエコラー・プロジェクトの第四段階をつかさどるエレゴ星系に向かう。到着したそこは、多数の衛星が褐色矮星の周囲をとりまき、各衛星のあいだには五十の宇宙要塞が防御を固めていた。ローダンの情報を求めて連絡を取るが、一行は不審な侵入者として疑われ、制御ステーションのサブリーダーであるナックのオッサマにより拘束されてしまった！
廃墟の王,アルント・エルマー/H・G・エーヴェルス/若松　宣子,https://books.rakuten.co.jp/rb/17677697/,1034,
ポスビス家の後継者たち,H・G・エーヴェルス/ロベルト・フェルトホフ,https://books.rakuten.co.jp/rb/17663269/,1034,
集結ポイントYゲート,エルンスト・ヴルチェク/ペーター・グリーゼ/K・H・シェール/工藤　稜/若松　宣子,https://books.rakuten.co.jp/rb/17569167/,902,ドリフェル・ゲートから脱出し、ベングエルとジュアタフ・ロボットの大歓声に迎えられたペリー・ローダンとベオドゥ。だが、巨大複合宇宙船“ジュナガシュ”で二人を待っていたベングエルの指導者“亡霊を視る者”は、アフ＝メテムの化身だった。炎の侯爵はローダンを自分の配下にすべくさまざまな手段で懐柔しようとする。ローダンは、ベングエルとジュアタフたちに、自分が囚われの身であることを伝えようとするが…
スカラベの道,H・G・フランシス/ロベルト・フェルトホフ/工藤　稜/嶋田　洋一,https://books.rakuten.co.jp/rb/17539755/,902,ウシャアル星系の惑星チェオバドから脱出したのち、ローダン一行は“永遠なる穴”の所在の手がかりを求めて、謎の通信インパルスを発していた惑星ラムに着陸した。だが何も発見できず、廃墟で謎の生物にナイ・レングが襲われ、精神に異常をきたす。そこでの唯一の成果は、ベオドゥが手がかりになりそうな夢を見たことだけだ。惑星フンドロにある巨大ピラミッドに、“永遠なる穴”へと至る秘密の部屋があるというのだが…
タルカンへの急使,エルンスト・ヴルチェク/クルト・マール/工藤　稜/星谷　馨,https://books.rakuten.co.jp/rb/17539756/,902,時空断層内のハウリ人のかくれ場から脱出した“シマロン”ら三隻は、ハンガイ銀河からの脱出をめざす。だがその中間静止ポイントで、オーグ・アト・タルカンから「いまいるこの場所で未来を約束する出来ごとが起きる。それを目撃するため、ここにとどまらねばならない」と連絡が入る。半信半疑ながらその宙域にとどまると、やがてベングエルの巨大船団が到着。“完結のシグナル”を受け取ったのでやってきたというが…。
三角座銀河の物質シーソー,クルト・マール/ペーター・グリーゼ/赤根　洋子,https://books.rakuten.co.jp/rb/17510624/,902,ヴァリオ＝５００が“九月の朝”作戦で入手した敵のデータを解析した結果、物質シーソーが球状星団マルティー５の惑星アシュカルにあることがわかった。だがわかったのはそこまでで、その惑星の正確な座標は不明。レジナルド・ブルは、二十万個の恒星系のなかからたったひとつの惑星を探しだし、敵の本拠地に潜入するため、ハウリ人が手に入れたがっているハイパートロップ吸引装置を使ったおとり作戦を立案するが…！？
キラーズ・オブ・ザ・フラワームーン,デイヴィッド・グラン/倉田　真木,https://books.rakuten.co.jp/rb/17568809/,1496,
メグレとマジェスティック・ホテルの地階〔新訳版〕,ジョルジュ・シムノン/高野　優,https://books.rakuten.co.jp/rb/17598340/,1298,パリの高級ホテルの地階で女性の死体が発見された。発見者はホテルで働くドンジュという男。メグレは捜査の中で、被害者がカンヌのキャバレーで働いていた時に、ドンジュと関係があったことを知る。状況証拠は彼が犯人であることを示しているが、メグレは真犯人が別にいるとにらんでいた。だが匿名の告発によって、ドンジュは勾留されてしまう。そして第二の事件が…。様々な謎が渦巻く中、メグレが真実を解き明かす。
ツインスター・サイクロン・ランナウェイ 3,小川　一水,https://books.rakuten.co.jp/rb/17481051/,1034,人類が星々へと拡散した遠未来。故郷の巨大ガス惑星を飛び出して女ふたり、銀河の文明圏を目指すテラとダイオード。愛する人との念願の船出はしかし、さまざまな生活の課題や、予想外のトラブルの連続だった。宇宙漁師の技術を活かして、一つ一つを乗り越えていくダイオードたち。そして旅の果てに明らかになる、銀河全体とふたりの全人生を揺るがす衝撃の事実とは？変わる世界と強まる想い、大好評の宇宙ＳＦ第３巻！
彷徨える艦隊12　特使船バウンドレス,ジャック・キャンベル/月岡　小穂,https://books.rakuten.co.jp/rb/17598289/,1848,
支配者ヘプタメルへの讃歌,マリアンネ・シドウ/K・H・シェール/工藤　稜/嶋田　洋一,https://books.rakuten.co.jp/rb/17481022/,902,アトラン率いる遠征隊はウシャアル星系に到着した。だが、安全な距離からデータを収集した結果、ハウリ人によりこの星系が厳重に防御されていることが判明する。アトランはサラアム・シインにその歌唱によって星系内を混乱させてほしいと依頼する。“ハーモニー”が、支配者ヘプタメルへの讃歌を星系じゅうに響かせ、ハウリ人たちを魅了しているあいだに、物質シーソーのある惑星パガルに潜入しようと計画したのだが…
秘密惑星チェオバド,ロベルト・フェルトホフ/ペーター・グリーゼ/星谷　馨,https://books.rakuten.co.jp/rb/17455683/,880,暗殺者“水使い”の猛攻をかろうじてかわし、惑星タルウルに転移したローダンは、背教者シャルンの助けをかりて砂漠に潜伏する。三日後、ナイ・レングとベオドゥがタルウルに到着すると、三名で異種族訓練センターで制御マスターになるための訓練を受けることに。講義を受けるかたわら、必死で物質シーソー、あるいはその制御施設が隠された場所を探索する。やがてそれが、第五惑星チェオバドにあることをつきとめるが…。
目標、アンクラム星系,アルント・エルマー/H・G・エーヴェルス/工藤　稜/シドラ　房子,https://books.rakuten.co.jp/rb/17481025/,902,タルカン宇宙への遷移に成功したアトランひきいる遠征隊は、めざすアンクラム星系に無事到着した。さっそくマン・グロから手わたされたメッセージをコード化し、プロジェクト・リーダーに向けて送信する。だが、なぜかいっこうに返事がない。やがて交信を求めてきたのは、第十三衛星をとりまくベングエルとジュアタフの巨大船団からだった。ローダンに関する情報を求めて、アトランはベングエルの宇宙船をおとずれるが…
クララとお日さま,カズオ・イシグロ/土屋　政雄,https://books.rakuten.co.jp/rb/17510547/,1650,クララは子供の成長を手助けするＡＦ（人工親友）として開発された人工知能搭載のロボット。店頭から街行く人々や来店する客を観察しながら、自分を買ってくれる人が来ることを待ち続けている。ある日、ジョジーという病弱な少女の家庭に買い取られ、やがて二人は友情を育んでいくが、一家には大きな秘密があった…愛とは、知性とは、家族とは？根源的な問題に迫る感動作。ノーベル文学賞受賞第一作。
パガル特務コマンド,H・G・エーヴェルス/クラーク・ダールトン/星谷　馨,https://books.rakuten.co.jp/rb/17510625/,902,サラアム・シインの歌唱による混乱に乗じて、アトランとイルナは惑星パガルに潜入した。だが、そこには恐るべき罠が待ち構えていた。惑星じゅうにひろがる精神集合体ハヌマヤが作り出した“アヴァタル夢”に閉じこれられてしまったのだ。一方アトランからの連絡がないことを憂慮したジュリアン・ティフラーは、ラトバー・トスタンをはじめとする七名のパガル特務コマンドをテレポーテーションで惑星に送りこんだが…！？
ナックの墓場,エルンスト・ヴルチェク/ロベルト・フェルトホフ/渡辺　広佐,https://books.rakuten.co.jp/rb/17455684/,880,消息を絶ったベオドゥを追い、ローダンは伝説の研究者の名無しとともに奔走する。だが、その行方は杳としてつかめない。唯一の手がかりは、チャリフ星系のタンジ＝ティムブのヴィデオルームで見た、伝説のナックが語る“ナックの墓場”だった。プロジェクト機構のメンバーであるダルフロルの招待を受け、ローダンはナックの故郷惑星ナンサムに向かう。だがその地では、チャリフ星系を殲滅するハウリ人の恐るべき陰謀が！
実力も運のうち　能力主義は正義か？,マイケル・サンデル/鬼澤　忍,https://books.rakuten.co.jp/rb/17568808/,1320,努力して高い能力を身につけた者が、社会的成功とその報酬を手にする。こうした「能力主義（メリトクラシー）」は一見、平等に思える。だが、本当にそうだろうか？ハーバード大学の学生の３分の２は、所得分布で上位５分の１にあたる家庭の出身だー。「やればできる」という言葉に覆い隠される深刻な格差を明るみに出し、現代における「正義」と「人間の尊厳」を根本から問う、サンデル教授の新たなる主著。
ブレーキング・デイー減速の日ー 上,アダム・オイェバンジ/金子　司,https://books.rakuten.co.jp/rb/17481021/,1496,ＡＩ統制下の地球を逃れ、植民船団で地球を脱出して１３２年。全長２５キロ、居住区輪８つを備えた世代宇宙船３隻は、長い旅の終わりを目前にしていた。インプラントで機器を操るクルーは、目的地くじら座タウ星へと船を減速させるため、停止中のドライヴ機関を再稼働させる“減速の日”の準備に追われている。そんななか機関部訓練生ラヴィは宇宙空間で一人の少女を見かけた…宇宙服なしの姿で！？新時代の世代宇宙船ＳＦ。
最後のユニコーン　旅立ちのスーズ,ピーター・S・ビーグル/井辻　朱美,https://books.rakuten.co.jp/rb/17598282/,1408,
ブレーキング・デイー減速の日ー 下,アダム・オイェバンジ/金子　司,https://books.rakuten.co.jp/rb/17481023/,1496,ラヴィは腕ききハッカーのいとこボズとともに、船外で姿を消した少女の謎を探るが、ラヴィ以外に彼女を見た者はいないらしい。彼のインプラントの不調だろうか？調査するうちに、二人は船の上級士官の不審な行動に気づく。そのうえラヴィたちは、船の減速の阻止を企む急進的活動家の陰謀に巻きこまれ…。彼らは無事に“減速の日”を迎えられるのか！？世代宇宙船を舞台に新鋭が鮮やかに描く驚嘆の物語。
金星の蟲,酉島　伝法,https://books.rakuten.co.jp/rb/17598192/,1386,
ハロウィーン・パーティ〔新訳版〕,アガサ・クリスティー/山本　やよい,https://books.rakuten.co.jp/rb/17539827/,1232,推理作家ミセス・オリヴァーが参加したハロウィーン・パーティで少女が殺された。少女が殺人現場を見たことがあると自慢していたことから口封じのための犯行かと思われたが、彼女は虚言癖の持ち主。殺人の話を真に受ける者はいなかった。ただ一人ポアロを除いては。クリスティーらしさが詰まった傑作が新訳で登場。
ザリガニの鳴くところ,ディーリア・オーエンズ/友廣　純,https://books.rakuten.co.jp/rb/17663223/,1430,
アルジャーノンに花束を新版,ダニエル・キイス/小尾芙佐,https://books.rakuten.co.jp/rb/13154427/,1078,３２歳になっても幼児なみの知能しかないチャーリイ・ゴードン。そんな彼に夢のような話が舞いこんだ。大学の先生が頭をよくしてくれるというのだ。これにとびついた彼は、白ネズミのアルジャーノンを競争相手に検査を受ける。やがて手術によりチャーリイの知能は向上していく…天才に変貌した青年が愛や憎しみ、喜びや孤独を通して知る人の心の真実とは？全世界が涙した不朽の名作。著者追悼の訳者あとがきを付した新版。
