hotelName,hotelInformationUrl,hotelMinCharge,telephoneNo,reviewAverage
天然温泉　田沢湖レイクリゾート,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=4624,5060,0187-46-2016,4.1
日本の山岳温泉リゾート　新玉川温泉,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=15408,12100,0187-58-3100,4.39
効能溢れる癒しの湯治宿　玉川温泉,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=14338,5170,0187-58-3000,4.43
ホテルルートイン　大曲駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=70699,5125,0187-86-3511,4.09
亀の井ホテル　田沢湖,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=11222,4200,0187-46-2131,3.86
リバーサイドホテル大曲,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=162983,4500,0187-62-0115,3.78
町家ホテル角館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=161208,7480,0187-55-2001,4.33
休暇村　乳頭温泉郷,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=72803,15500,0187-46-2244,4.55
大曲シティホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=145044,2750,080 3978 6836,2.38
グリーンホテル大曲,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=10867,4250,0187-86-3333,3.93
田町武家屋敷ホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=107856,10230,0187-52-1700,4.64
Ｔａｂｉｓｔ　ホテル富士,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=20646,3300,0187-62-0243,3.95
花心亭しらはま,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=139459,21500,0187-43-0436,4.44
田沢湖水沢温泉郷セルリアンリゾートＡＯＮＩ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=70772,8000,0187-46-2006,4.11
ホテルフォルクローロ角館＜JR東日本ホテルズ＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1720,5450,0187-53-2070,4.17
あきた芸術村　温泉ゆぽぽ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=5576,6050,0187-44-3333,4.59
心に和みが灯る宿　水沢温泉郷　青荷山荘,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=5387,10000,0187-46-2256,4.09
大曲エンパイヤホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=13886,5775,0187-63-1131,3.52
川口温泉　奥羽山荘,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181765,6050,0187-88-1717,4.0
乳頭温泉郷　大釜温泉,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=59623,11000,0187-46-2438,3.43
ホテルグランド天空,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=129680,8500,0187-46-2004,4.17
南玉川温泉　湯宿　はなやの森,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=107777,22000,0187-49-2700,3.0
田沢湖高原温泉　田沢高原ホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16520,6050,0187-46-2311,4.63
湖畔浪漫の宿　かたくりの花,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=162793,15840,0187-43-1200,3.9
夏瀬温泉　都わすれ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=141336,37350,0187-44-2220,4.0
角館温泉　花葉館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=128566,7150,0187-55-5888,4.19
田沢湖畔の小さなリゾート　ペンションサウンズグッド！,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=2763,7370,0187-43-0127,4.67
かくのだて温泉　町宿　ねこの鈴,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147002,6600,0187-42-8105,4.0
民宿　惣之助,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=44352,7000,0187-43-2161,4.55
和のゐ角館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178536,14500,0187-53-2774,4.25
